Movie Title,Movie URL,Synopsis
Ace Ventura: Pet Detective,https://imsdb.com/Movie Scripts/Ace Ventura: Pet Detective Script.html,"Ace Ventura is a Pet Detective, The three things he tried to detected were A LOVELY DOG, A DOLFIN & A PIGEON respectively. Ace Ventura charater is not only funny with his awful and silly expressions but stern about animals. To the parallel of Ace Ventura is a Detective Aggency guided by Ms. Hornbill. While searching for the DOLPHIN, Pet Detective showed his madness and intelligence he got a woman who eventually happened to like the Pet Detective finally in Climax Ace Ventura solved the case of missing DOLPHIN in that revelation they lost something...—priyanshhariyale"
Adaptation,https://imsdb.com/Movie Scripts/Adaptation Script.html,"While his latest movie Being John Malkovich (1999) is in production, screenwriter Charlie Kaufman is hired by Valerie Thomas to adapt Susan Orlean's non-fiction book ""The Orchid Thief"" for the screen. Thomas bought the movie rights before Orlean wrote the book, when it was only an article in The New Yorker. The book details the story of rare orchid hunter John Laroche, whose passion for orchids and horticulture made Orlean discover passion and beauty for the first time in her life. Charlie wants to be faithful to the book in his adaptation, but despite Laroche himself being an interesting character in his own right, Charlie is having difficulty finding enough material in Laroche to fill a movie, while equally not having enough to say cinematically about the beauty of orchids. At the same time, Charlie is going through other issues in his life. His insecurity as a person doesn't allow him to act upon his feelings for Amelia Kavan, who is interested in him as a man. And Charlie's twin brother, pretentious Donald, has moved into his house with a goal of also becoming a screenwriter. Despite not admiring Donald as a screenwriter, Charlie asks for his advice. Together, they feel that there is some interesting subtext in the book on which Orlean herself can only elaborate, if only Charlie has the nerve to talk to her. If she can't or won't elaborate, they may have to find out the meaning of that subtext on their own.—Huggo"
"Addams Family, The","https://imsdb.com/Movie Scripts/Addams Family, The Script.html",The Addams Family steps out of Charles Addams' cartoons. They live with all of the trappings of the macabre (including a detached hand for a servant) and are quite wealthy. Added to this mix is a crooked accountant and his loan shark and a plot to slip the shark's son into the family as their long-lost Uncle Fester. Can the false Fester find his way into the vault before he is discovered?—John Vogel <jlvogel@comcast.net>
"Adjustment Bureau, The","https://imsdb.com/Movie Scripts/Adjustment Bureau, The Script.html","In New York, the prominent politician David Norris is disputing the election for the Senate but his past of bad boy makes him lose the election. He meets the stranger Elise Sellas hidden in the Waldorf's toilet and she tells that she had crashed a party and the security guards are chasing her. They start a conversation and they immediately fall in love with each other. However the guards find her and David does not see her again. However she inspires him to make a remarkable speech. Three years later, David is traveling by bus and he sees Elise on the sidewalk. He gets out of the bus to meet her and he learns that she is a dancer. Further, she gives her phone number to him and David promises to call her. However, strangers wearing hats approach to David and tell that they belong to the Adjustment Bureau and Elise and David must be kept apart. They destroy the piece of paper with her phone number and David is unable to contact Elise. When David meets Elise again, the strangers use their abilities to keep them apart. What is the reason why David and Elise can not be together?—Claudio Carvalho, Rio de Janeiro, Brazil"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","https://imsdb.com/Movie Scripts/Adventures of Buckaroo Banzai Across the Eighth Dimension, The Script.html","Brain surgeon, rock musician, adventurer Buckaroo Banzai is a modern renaissance man and has made scientific history. He perfected the Oscillation Overthruster, which allows him to travel through solid matter by using the eighth dimension. But when his sworn enemy Dr. Emilio Lizardo devises a plot to steal the device and bring an evil army back to destroy Earth, Buckaroo goes cranium to cranium with the madman in a battle that could spell doom for the universe. Along with his crime-fighting team, the Hong Kong Cavaliers, Buckaroo must stop the evil alien invaders from the eighth dimension who are planning to conquer our dimension. He is helped by Penny Pretty, the long-lost twin sister of his late wife, and some good extra-dimensional beings who look and talk like they are from Jamaica.—Greg Bole <bole@life.bio.sunysb.edu>"
Affliction,https://imsdb.com/Movie Scripts/Affliction Script.html,"Wade Whitehouse is a sheriff of a small New Hampshire town who achieved nothing in life in the opinion of his ex-wife Lillian and daughter Jill and is a heavy drinker. His girlfriend Margie accepts him the way he is. On the first day of the hunting season, Wade's friend Jack takes a wealthy businessman to hunt - and only Jack returns alive. Wade decides to play detective and starts investigating the case despite the fact Jack insists it was an accidental self-inflicted shot.—Anonymous"
After School Special,https://imsdb.com/Movie Scripts/After School Special Script.html,"Deacon, Matt and Fred will do anything for even a glimpse of sex and spend their mornings pirating porno movies from Fred's after school job at the video store. But when Fred is fired, the well runs dry, and our heroes come up with a new plan: make their own ""adult"" film.—Anonymous"
After.Life,https://imsdb.com/Movie Scripts/After.Life Script.html,"Running out of options and money, single mum Callie sets foot in the small town of Summerville, Oklahoma, with her two teenage children, Phoebe and Trevor. And now, there is no turning back. As the family attempts to settle in the dilapidated house of Callie's eccentric late father, unexpected secrets hidden in plain sight, mysterious equipment, and a strange vehicle rotting in the barn seem to relate to the area's puzzling seismic activity, and something even more shocking: the long-forgotten Stay-Puft Marshmallow Man Incident in 1980s New York City. But there hasn't been a single ghost sighting since the bizarre events of Ghostbusters II (1989). Is history repeating itself? Will Phoebe connect the dots, give her grandfather a voice, and discover the family's connection to the original Ghostbusters (1984)?—Nick Riganas"
Agnes of God,https://imsdb.com/Movie Scripts/Agnes of God Script.html,"When a dead newborn is found wrapped in bloody sheets in a wastebasket in the bedroom of a young novitiate, psychiatrist Martha Livingston is called in to determine if the seemingly innocent novice, who knows nothing of sex or birth, is competent to stand trial for the baby's murder. While searching for the answer that her supervisors want, Dr. Livingston finds herself inevitably drawn into searching for the truth about the baby's conception and death. Despite the lack of cooperation that she receives from her own organization and the church itself, she eventually discovers more than she may have bargained for.—brado.3"
Air Force One,https://imsdb.com/Movie Scripts/Air Force One Script.html,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history."
Airplane,https://imsdb.com/Movie Scripts/Airplane Script.html,"Ted Striker just got dumped by his long-time girlfriend Elaine Dickinson, a flight attendant at Trans American Airlines. In his wish to get her back, he follows her aboard the plane, although he has had a deep aversion against anything winged since he lost several men in the war. During flight, he tries to contact her again and again, but as the crew and many passengers get seriously ill due to a bad fish meal, he has no chance to get to her. In fact, he seems to be the only healthy person aboard that has piloting experience. It is up to him to get the bird down in Chicago safely, before the poisoning starts causing casualties. But Ted Striker's aversion is a serious psychosis which breaks open and needs to be cured--immediately..—Julian Reischl <julianreischl@mac.com>"
Airplane 2: The Sequel,https://imsdb.com/Movie Scripts/Airplane 2: The Sequel Script.html,"Years have passed since Ted Striker heroically saved many lives by avoiding a plane crash. Working as a test pilot for a new Lunar Shuttle, he gets innocently sent into a mental ward after a crash of the badly constructed, computer-navigated spaceship. When he hears that the exactly same type of shuttle is scheduled for a moon flight soon, he breaks out to hinder the launch. Aboard, Ted finds his ex Elaine Dickinson working as stewardess again and her fiancé Simon, a member of the committee that wants the Mayflower I to be launched. In flight, the ship's computer ROK 9000 takes control. It is up to Ted again to save the passengers' lives - if there only wouldn't be these flashbacks to the war and these people who know Ted and have no faith in his abilities at all.—Julian Reischl <julianreischl@mac.com>"
Aladdin,https://imsdb.com/Movie Scripts/Aladdin Script.html,"Kind young street thief Aladdin finds his world turning upside-down when he falls in love with a beautiful young girl, who in reality is the gorgeous Princess Jasmine. As Aladdin determines to win her heart, he comes across a mysterious oil lamp, which holds a powerful genie, who may be the key to making his dreams come true. As the duo becomes close friends, they discover that the lamp is also being sought by the Sultan's insidious advisor Jafar, who intends to use the lamp in an evil plot to take over the kingdom and wage war on the neighboring towns.—Blazer346"
Ali,https://imsdb.com/Movie Scripts/Ali Script.html,"In 1964, a brash new pro boxer, fresh from his Olympic gold medal victory, explodes on to the scene, Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence with his unapologetic belief that he is the greatest boxer of all time. To his credit, he sets out to prove that with his highly agile and forceful style soon making him a formidable boxer who soon claims the heavyweight championship. His personal life is no less noteworthy with his allegiance to the Nation of Islam, his friendship with the controversial Malcolm X and his abandonment of his slave name in favor of Muhammad Ali stirring up controversy. Yet, at the top of his game, both Ali's personal and professional lives face the ultimate test with the military draft rules are changed, making him eligible for military induction during the Vietnam War. Despite the fact that he could easily agree to a sweetheart deal that would have meant an easy tour of duty for himself, Ali refuses to submit on principle to cooperate in an unjust war for a racist nation that treated his people so poorly. The cost of that stand is high as he finds himself unable to legally box in his own country while his case is contested in court. What follows is a battle for a man who would sacrifice so much for what he believes in and a comeback that would cement his legend as one of the great sports figures of all time.—Kenneth Chisholm (kchishol@rogers.com)"
Alien,https://imsdb.com/Movie Scripts/Alien Script.html,"In the depths of cold, boundless space, Mother, the state-of-the-art AI super-computer aboard the commercial towing vehicle USCSS ""Nostromo,"" detects a possible distress signal from a nearby barren, inhospitable moon, Acheron, and awakens the seven-member crew from cryosleep. To investigate the mysterious transmission, Captain Arthur Dallas, along with the executive officer Thomas Kane and navigator Joan Lambert, descend to the dim-lit celestial body known as LV-426, only to discover a downed but relatively intact extraterrestrial spacecraft and its bizarre cargo. But was this cryptic signal, indeed, a desperate SOS, or was it a warning? Either way, somehow, something else, too, has found its way into the ""Nostromo,"" and now, its silent, dark corridors will never be safe again. Who dares to confront the formidable alien, the unwanted eighth passenger?—Nick Riganas"
Alien 3,https://imsdb.com/Movie Scripts/Alien 3 Script.html,
Alien Nation,https://imsdb.com/Movie Scripts/Alien Nation Script.html,"A few years from now, Earth will have the first contact with an alien civilisation. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine but are victims of a new type of discrimination. When the first Newcomer police officer, Sam Francisco is assigned his new partner, he is given Matthew Sykes , a mildly racist veteran, the animosity between them soon gives way to respect as they investigate the Newcomer underworld, and especially Newcomer leader William Harcourt.—Jonathan Broxton <j.w.broxton@sheffield.ac.uk>"
Alien vs. Predator,https://imsdb.com/Movie Scripts/Alien vs. Predator Script.html,"After detecting heat emanating from an ancient pyramid buried deep within the ice caps of Antarctica, billionaire industrialist Charles Bishop Weyland and his scientific team arrive on the icy continent. At first, this unexpected discovery fascinates them. However, once they set foot in the complex network of cavernous chambers, the intruders realise this intricate construction is not the work of the human intellect. But then, the walls start to move, trapping the unsuspecting explorers. And as three young Predators enter the dark temple of adjudication for their rite of passage, aggressive endoparasitoid Xenomorphs, or Aliens (1986), start flocking into the ancient structure. Now, the humans find themselves caught in the middle of a brutal, centuries-old power struggle. Who will prevail in the ultimate battle between Aliens and Predators?—Nick Riganas"
Alien: Resurrection,https://imsdb.com/Movie Scripts/Alien: Resurrection Script.html,"Ellen Ripley sacrificed herself to destroy the Company's desires to use the alien queen as a biological weapon. 200 years and seven horrible experiments later, she is resurrected on the USM Auriga using blood samples from Fiorina 161, for the purpose of extracting the alien queen inside her. However, Ripley's DNA gets mixed up with the Queen's DNA and she begins to develop enhanced strength and reflexes. After a band of smugglers, hired by the government, bring the crew of a hijacked transport to the Auriga, all hell breaks loose when the aliens breed from the hijacked crew escape. When the Auriga is set on automatic pilot back to Earth, it's up to Ripley and the smugglers to stop the Auriga and escape with their lives. And when the Queen's secret was revealed, it exposed a bizarre DNA mix-up that left both Ripley and the queen's genetics intertwined; giving light to an alien that could spell doom for Earth.—Kerwin Tsang <kertsang@yahoomail.com>"
Aliens,https://imsdb.com/Movie Scripts/Aliens Script.html,"Living in a state of suspended animation for the past fifty-seven years, the sole survivor of the bloody Nostromo massacre in Alien (1979), Lieutenant First Class Ellen Ripley, wakes up in a salvage ship on its way back to Earth. Now, faced with the consequences of her actions, disgraced Ripley reluctantly accepts to escort the junior executive, Carter Burke, along with a tough-as-nails squad of U.S. Colonial Marines to Hadley's Hope, the terraforming and mining colony on LV-426, in exchange for her pilot's licence. But, there, on the dark surface of the remote exoplanetary satellite, multitudes of predatory endoparasitoid creatures known as Xenomorphs, just like the aggressive Stage 3 drone that killed Ellen's companions, prowl the area. This time, it's war, and as the undaunted, acid-spewing space-insects decimate the armed-to-the-teeth troops, once more, Ripley must take her life into her own hands. Can a woman alone put an end to the nightmare of the ferocious Aliens?—Nick Riganas"
All About Eve,https://imsdb.com/Movie Scripts/All About Eve Script.html,"Margo Channing is a renowned and well-respected Broadway actress, her recent successes a collaboration with Producer Max Fabian, Playwright Lloyd Richards, and her current boyfriend Director Bill Sampson, with Bill, Lloyd, and Lloyd's ""non-business"" wife Karen a foursome as friends. They all have to deal with Margo's volatile insecurities, especially around the elephant in the room, namely that many are starting to have to suspend belief of forty year old Margo playing ingenues, i.e. characters in their twenties. Age also factors into Margo's doubts about her relationship with thirty-two year old Bill. Into their lives enters twenty-four year old Eve Harrington, outwardly a star-struck innocent who idolizes Margo in having seen every performance of their current play, Aged in Wood, because of Margo, Karen noticing her as a constant fixture outside the theater after every performance. After learning her hard-luck story and seeing her enthusiasm especially concerning anything concerning the theater, Margo hires Eve to be her personal assistant. But some, such as Margo's friend and maid Birdie Coonan, view Eve with suspicion, as her enthusiasm is a little too ardent. Eve slyly using opportunities slowly reveals her true scheming intentions, which those in this circle begin to notice, some sooner than later. What happens with Eve in her ultimate goal to be the Margo Channing of her generation is affected by theater columnist Addison DeWitt, whose power lies in being able to convey what he wants to the masses through his column.—Huggo"
All About Steve,https://imsdb.com/Movie Scripts/All About Steve Script.html,"Mary Horowitz writes crossword puzzles for the Sacramento Herald. She's loquacious to a fault. When kids at a Career Day make fun of her for being single, she accepts a blind date with Steve, the cameraman for a CNN-like news network. Within minutes she decides he's the man for her. Quickly put off by her constant verbiage and over-the-top advances, he makes an off-hand remark about going on the road with her, then splits. Moonstruck, she writes a sappy crossword puzzle, loses her job, and decides to follow him as the news team crisscrosses the Southwest; Steve's team eggs her on. Then she falls into a mine shaft, and she and Steve become a story. It a love story?—<jhailey@hotmail.com>"
All the King's Men,https://imsdb.com/Movie Scripts/All the King's Men Script.html,"The evolution of Willie Stark as a state politician is presented. A self-professed uneducated country bumpkin, Willie gets into politics, initially running for a county treasury seat, in his belief that the political machine is corrupt and that he, an honest man, will bring back integrity in his outward goal of getting the truth to the people. Despite he posing no real threat to the establishment, the establishment does whatever it can to quash Willie's political voice, especially through intimidation. It isn't until the establishment believes it can use Willie to their advantage that Willie in turn discovers an opportunity to use the machine to his advantage instead in espousing a populist agenda. Getting a taste of power may give Willie a different view of politics than his outward view in the beginning. Also presented are a number of people around Willie who get out of him what they need for their own lives, Willie, in turn, only keeping people around if they can serve his interests: Lucy Stark, his former schoolteacher wife, has acted more as a mother to him than a wife; reporter Jack Burden, having grown up in privilege in an isolated enclave of the state called Burden's Landing, is trying to find his place in life without the connections of his childhood, and believed he found that in writing articles on Willie for his newspaper; Jack's childhood friend and his current girlfriend Anne Stanton, the daughter of a former respected governor, she who wants her husband, regardless of if it's Jack or anyone else, to be a somebody; and Sadie Burke, who has always surrounded herself by who can pay her the most for her brains, she who may see Willie as more than just a paycheck.—Huggo"
All the President's Men,https://imsdb.com/Movie Scripts/All the President's Men Script.html,"On June 17, 1972, the Washington DC police apprehend five men who broke into the National Democratic Party headquarters in the Watergate building. The Washington Post newspaper assigns Bob Woodward, a reporter relatively new to the paper who works the local news desk, to cover the seemingly minor story. When Woodward sees that the five men - primarily Cuban immigrants - have high powered lawyers working for them in the background, he sees a potentially larger story. That's when a fellow reporter at the newspaper, Carl Bernstein, who is more of a hack who was close to being fired, wants in on the story as well, which Woodward eventually welcomes. One of Woodward's Washington insider contacts, who is given the code name Deep Throat, implies that the break-in is indeed part of a larger story. Deep Throat will neither confirm or deny information, but will lead Woodward in the right direction if Woodward does get confirmation of information. Deep Throat eventually tells him to ""follow the money"", which leads them to uncover that the burglars had moneys in their bank accounts that were originally donated to the Committee to Reelect President Richard Nixon. They have to uncover who controlled the diversion of those funds to see how high up the story goes, which may lead them into the White House itself. Through the process, they have the obstacles of the newspaper's editor-in-chief Ben Bradlee who needs their story to be confirmed by reliable source after reliable source to prevent liable, few sources tied to the Committee who will speak to them on the record (their silence which is as telling to Woodward and Bernstein as actual information), and public apathy as no one but them, their newspaper and those to who they speak seem to believe there is a story at all. As they get closer to the truth, there may be those who will do anything to quash the story, all in the name of national security.—Huggo"
Almost Famous,https://imsdb.com/Movie Scripts/Almost Famous Script.html,"Set in 1973, it chronicles the funny and often poignant coming of age of 15-year-old William, an unabashed music fan who is inspired by the seminal bands of the time. When his love of music lands him an assignment from Rolling Stone magazine to interview the up-and-coming band Stillwater -- fronted by lead guitar Russell Hammond and lead singer Jeff Bebe William embarks on an eye-opening journey with the band's tour, despite the objections of his protective mother.—Jwelch5742"
Alone in the Dark,https://imsdb.com/Movie Scripts/Alone in the Dark Script.html,"In 1967, mine workers find the remnants of an ancient vanished civilization named Abkani that believe there are the worlds of light and darkness. When they opened the gate between these worlds ten thousand years ago, something evil slipped through before the gate was closed. Twenty-two years ago, the Government Paranormal Research Agency Bureau 713 was directed by Professor Lionel Hudgens, who performed experiments with orphan children. On the present days, one of these children is the paranormal investigator Edward Carnby, who has just gotten an Abkani artifact in South America, and is chased by a man with abilities. When an old friend of foster house disappears in the middle of the night, he discloses that demons are coming back to Earth. With the support of the anthropologist Aline Cedrac and the leader of the Bureau 713, Cmdr. Richard Burke, and his squad, they battle against the evil creatures.—Claudio Carvalho, Rio de Janeiro, Brazil"
Amadeus,https://imsdb.com/Movie Scripts/Amadeus Script.html,"It is the early 19th century. An old man is thrown into an insane asylum after trying to commit suicide. He is Antonio Salieri and in the asylum he is visited by a priest, to whom he confesses that he killed Mozart. He then recounts his time as court composer to Emperor Joseph II of Austria. Mozart appears at the court and is hired by the Emperor to produce an opera. His genius is quite evident. Salieri is a devout Christian man and believes all musical talent and inspiration is given by God. Mozart's personal life and extracurricular activities appall Salieri. He cannot reconcile Mozart's talent and his lifestyle and sets out to drive him from the court. Initially his aim is to undermine him but over time his intentions turn deadlier.—grantss"
Amelia,https://imsdb.com/Movie Scripts/Amelia Script.html,"The final nine years in the life of Kansas-born aviatrix Amelia Earhart (1897-1937) is presented. This phase of her flying career included publisher George Putnam recruiting her to be the first woman to fly across the Atlantic albeit solely as ""commander"" i.e. as a passenger, her want truly to be in her mind the first woman to fly across the Atlantic by doing it solo despite several others perishing in the attempt before and after the only successful solo flight to date by Charles A. Lindbergh, and the two attempts to circumnavigate the globe, the final attempt which would lead to her presumed death as her plane was never found. What was often seen as her reckless flying decisions to those around her are also demonstrated. Interspersed with these flying landmarks are her need to raise money to finance her flights by writing books, doing endorsements and making public appearances, all which she abhorred. Her relationships with several people are also presented, including with: Putnam, who was also her manager and eventual husband; fellow aviator Gene Vidal, with who she had a love affair known to George; Fred Noonan, her celestial navigator for the two global flights, his skill as such which was balanced by his excessive drinking; and young Elinor Smith, with who she had a love/hate relationship solely because Smith aspired to take her place as the world's premier aviatrix.—Huggo"
American Beauty,https://imsdb.com/Movie Scripts/American Beauty Script.html,"After his death sometime in his 43rd year, suburbanite Lester Burnham tells of the last few weeks of his life, during which he had no idea of his imminent passing. He is a husband to real estate agent Carolyn Burnham and father to high school student Jane Burnham. Although Lester and Carolyn once loved each other, they now merely tolerate each other. Typical wallflower Jane also hates both her parents; the three suffer individually in silence in their home life. Jane tries to steer clear of both her parents. Carolyn, relatively new to the real estate business, wants to create the persona of success to further her career, aspiring to the professional life of Buddy Kane, the king of the real estate business in their neighborhood. Lester merely walks mindlessly through life, including at his job in advertising. His company is downsizing, and he, like all the other employees, has to justify his position to the newly hired efficiency expert to keep his job. Things change for Lester when he falls in love at first sight with Jane's more experienced classmate, Angela Hayes. Both Janie and Angela can see Lester's sexual infatuation with Angela, who courts such attention from any man as a sign that she is model material, she having once appeared in Seventeen and is a career to which she aspires. Lester's infatuation with Angela gives him a reenergized view on life, where he openly doesn't care anymore what anyone thinks about what he does, anyone except Angela. This infatuation coincides with the Fittses moving in next door: homophobic disciplinarian US Marine Colonel Frank Fitts who rules the house with a military fist (that fist being both figurative and literal), his semi-comatose wife Barbara Fitts, and their bright and quietly subversive 18-year-old son Ricky Fitts, who openly abides by his father's rules while behind the scenes lives by his own quite different perspective. Much like Lester's infatuation, Ricky immediately becomes infatuated with Jane; he considers girls like Angela as ordinary. The entry of Angela and the Fittses into the Burnhams' lives ultimately leads to each of the players confronting what is truly in his or her heart.—Huggo"
